chart_id,chosen_label,chosen_value,correct_median,correct,trial_file
bar_vertical_01,6,71,54.5,false,trial3.csv
bar_vertical_08,2,58,58,true,trial3.csv
bar_horizontal_06,7,64,53,false,trial3.csv
pie_16,4,39,39,true,trial3.csv
bar_vertical_19,1,62,62,true,trial3.csv
pie_18,5,56,56,true,trial3.csv
bar_vertical_20,3,43,43,true,trial3.csv
bar_vertical_17,7,56,49.5,false,trial3.csv
bar_horizontal_17,5,46,46,true,trial3.csv
bar_vertical_07,8,54,68.5,false,trial3.csv
bar_horizontal_18,2,64,70,false,trial3.csv
bar_vertical_05,5,48,46,false,trial3.csv
bar_vertical_04,7,45,45,true,trial3.csv
pie_15,1,46,36.5,false,trial3.csv
pie_12,2,35,35,true,trial3.csv
bar_vertical_12,1,32,32,true,trial3.csv
pie_04,6,29,29,true,trial3.csv
pie_07,5,41,41,true,trial3.csv
bar_vertical_15,7,65,59,false,trial3.csv
pie_19,3,56,56,true,trial3.csv
bar_horizontal_01,7,77,75,false,trial3.csv
bar_horizontal_15,3,70,68,false,trial3.csv
bar_horizontal_19,6,50,50,true,trial3.csv
bar_horizontal_12,4,38,38,true,trial3.csv
bar_vertical_06,6,79,68,false,trial4.csv
pie_17,3,57,53,false,trial4.csv
bar_horizontal_08,3,68,48,false,trial4.csv
pie_11,4,61,50.5,false,trial4.csv
bar_horizontal_05,4,36,29,false,trial4.csv
bar_horizontal_11,6,56,61.5,false,trial4.csv
bar_horizontal_20,4,72,55,false,trial4.csv
bar_horizontal_04,5,33,29,false,trial4.csv
bar_horizontal_07,6,74,51,false,trial4.csv
pie_01,4,23,23,true,trial4.csv
bar_vertical_09,3,55,46,false,trial4.csv
bar_horizontal_14,5,77,77,true,trial4.csv
bar_vertical_03,4,73,73,true,trial4.csv
bar_vertical_18,9,32,32,true,trial4.csv
bar_vertical_16,4,56,56,true,trial4.csv
bar_vertical_10,4,42,49,false,trial4.csv
pie_05,4,71,71,true,trial4.csv
bar_horizontal_10,9,43,42.5,false,trial4.csv
bar_horizontal_09,3,65,65,true,trial4.csv
pie_20,4,53,53,true,trial4.csv
pie_14,7,54,54,true,trial4.csv
bar_horizontal_13,2,72,72,true,trial4.csv
pie_03,3,66,56,false,trial4.csv
pie_10,2,61,35,false,trial4.csv
pie_08,6,57,72,false,trial4.csv
bar_horizontal_03,5,57,57,true,trial4.csv
pie_09,1,41,41,true,trial4.csv
pie_13,2,59,59,true,trial4.csv
pie_02,1,36,37.5,false,trial4.csv
bar_horizontal_02,2,71,71,true,trial4.csv
bar_vertical_02,1,40,45.5,false,trial4.csv
bar_vertical_11,4,73,73,true,trial4.csv
bar_vertical_13,4,59,59,true,trial4.csv
bar_horizontal_16,2,49,46,false,trial4.csv
bar_vertical_14,8,30,18,false,trial4.csv
pie_06,6,73,60,false,trial4.csv
bar_vertical_01,9,57,54.5,false,trial4.csv
bar_vertical_08,2,58,58,true,trial4.csv
bar_horizontal_06,6,54,53,false,trial4.csv
pie_16,1,57,39,false,trial4.csv
bar_vertical_19,1,62,62,true,trial4.csv
pie_18,5,56,56,true,trial4.csv
bar_vertical_20,3,43,43,true,trial4.csv
bar_vertical_17,6,43,49.5,false,trial4.csv
bar_horizontal_17,5,46,46,true,trial4.csv
bar_vertical_07,3,79,68.5,false,trial4.csv
bar_horizontal_18,2,64,70,false,trial4.csv
bar_vertical_05,5,48,46,false,trial4.csv
bar_vertical_04,7,45,45,true,trial4.csv
pie_15,6,27,36.5,false,trial4.csv
pie_12,2,35,35,true,trial4.csv
bar_vertical_12,1,32,32,true,trial4.csv
pie_04,6,29,29,true,trial4.csv
pie_07,5,41,41,true,trial4.csv
bar_vertical_15,9,64,59,false,trial4.csv
pie_19,3,56,56,true,trial4.csv
bar_horizontal_01,7,77,75,false,trial4.csv
bar_horizontal_15,3,70,68,false,trial4.csv
bar_horizontal_19,8,57,50,false,trial4.csv
bar_horizontal_12,4,38,38,true,trial4.csv
bar_vertical_06,4,100,68,false,trial5.csv
pie_17,7,64,53,false,trial5.csv
bar_horizontal_08,3,68,48,false,trial5.csv
pie_11,5,82,50.5,false,trial5.csv
bar_horizontal_05,7,13,29,false,trial5.csv
bar_horizontal_11,6,56,61.5,false,trial5.csv
bar_horizontal_20,3,98,55,false,trial5.csv
bar_horizontal_04,5,33,29,false,trial5.csv
bar_horizontal_07,5,96,51,false,trial5.csv
pie_01,3,22,23,false,trial5.csv
bar_vertical_09,6,73,46,false,trial5.csv
bar_horizontal_14,5,77,77,true,trial5.csv
bar_vertical_03,5,19,73,false,trial5.csv
bar_vertical_18,6,72,32,false,trial5.csv
bar_vertical_16,4,56,56,true,trial5.csv
bar_vertical_10,2,67,49,false,trial5.csv
pie_05,4,71,71,true,trial5.csv
bar_horizontal_10,6,35,42.5,false,trial5.csv
bar_horizontal_09,4,97,65,false,trial5.csv
pie_20,3,96,53,false,trial5.csv
pie_14,5,13,54,false,trial5.csv
bar_horizontal_13,4,81,72,false,trial5.csv
pie_03,4,69,56,false,trial5.csv
pie_10,6,96,35,false,trial5.csv
pie_08,5,99,72,false,trial5.csv
bar_horizontal_03,4,70,57,false,trial5.csv
pie_09,3,26,41,false,trial5.csv
pie_13,3,70,59,false,trial5.csv
pie_02,4,36,37.5,false,trial5.csv
bar_horizontal_02,2,71,71,true,trial5.csv
bar_vertical_02,4,33,45.5,false,trial5.csv
bar_vertical_11,3,94,73,false,trial5.csv
bar_vertical_13,5,33,59,false,trial5.csv
bar_horizontal_16,3,97,46,false,trial5.csv
bar_vertical_14,5,18,18,true,trial5.csv
pie_06,5,73,60,false,trial5.csv
bar_vertical_01,6,71,54.5,false,trial5.csv
bar_vertical_08,3,70,58,false,trial5.csv
bar_horizontal_06,5,77,53,false,trial5.csv
pie_16,6,91,39,false,trial5.csv
bar_vertical_19,4,32,62,false,trial5.csv
pie_18,7,37,56,false,trial5.csv
bar_vertical_20,4,96,43,false,trial5.csv
bar_vertical_17,5,93,49.5,false,trial5.csv
bar_horizontal_17,4,59,46,false,trial5.csv
bar_vertical_07,4,84,68.5,false,trial5.csv
bar_horizontal_18,3,90,70,false,trial5.csv
bar_vertical_05,5,48,46,false,trial5.csv
bar_vertical_04,5,79,45,false,trial5.csv
pie_15,5,88,36.5,false,trial5.csv
pie_12,4,59,35,false,trial5.csv
bar_vertical_12,4,92,32,false,trial5.csv
pie_04,6,29,29,true,trial5.csv
pie_07,2,60,41,false,trial5.csv
bar_vertical_15,5,96,59,false,trial5.csv
pie_19,4,58,56,false,trial5.csv
bar_horizontal_01,4,82,75,false,trial5.csv
bar_horizontal_15,5,88,68,false,trial5.csv
bar_horizontal_19,6,50,50,true,trial5.csv
bar_horizontal_12,4,38,38,true,trial5.csv
bar_vertical_06,4,100,68,FALSE,trial6.csv
pie_17,6,94,53,FALSE,trial6.csv
bar_horizontal_08,3,68,48,FALSE,trial6.csv
pie_11,6,38,50.5,FALSE,trial6.csv
bar_horizontal_05,6,82,29,FALSE,trial6.csv
bar_horizontal_11,6,56,61.5,FALSE,trial6.csv
bar_horizontal_20,3,98,55,FALSE,trial6.csv
bar_horizontal_04,5,33,29,FALSE,trial6.csv
bar_horizontal_07,5,96,51,FALSE,trial6.csv
pie_01,3,22,23,FALSE,trial6.csv
bar_vertical_09,5,51,46,FALSE,trial6.csv
bar_horizontal_14,5,77,77,TRUE,trial6.csv
bar_vertical_03,5,19,73,FALSE,trial6.csv
bar_vertical_18,6,72,32,FALSE,trial6.csv
bar_vertical_16,4,56,56,TRUE,trial6.csv
bar_vertical_10,3,66,49,FALSE,trial6.csv
pie_05,4,71,71,TRUE,trial6.csv
bar_horizontal_10,6,35,42.5,FALSE,trial6.csv
bar_horizontal_09,3,65,65,TRUE,trial6.csv
pie_20,4,53,53,TRUE,trial6.csv
pie_14,4,89,54,FALSE,trial6.csv
bar_horizontal_13,4,81,72,FALSE,trial6.csv
pie_03,6,23,56,FALSE,trial6.csv
pie_10,5,85,35,FALSE,trial6.csv
pie_08,4,79,72,FALSE,trial6.csv
bar_horizontal_03,4,70,57,FALSE,trial6.csv
pie_09,4,94,41,FALSE,trial6.csv
pie_13,3,70,59,FALSE,trial6.csv
pie_02,3,93,37.5,FALSE,trial6.csv
bar_horizontal_02,3,69,71,FALSE,trial6.csv
bar_vertical_02,5,19,45.5,FALSE,trial6.csv
bar_vertical_11,4,73,73,TRUE,trial6.csv
bar_vertical_13,6,60,59,FALSE,trial6.csv
bar_horizontal_16,4,38,46,FALSE,trial6.csv
bar_vertical_14,4,92,18,FALSE,trial6.csv
pie_06,4,47,60,FALSE,trial6.csv
bar_vertical_01,6,71,54.5,FALSE,trial6.csv
bar_vertical_08,3,70,58,FALSE,trial6.csv
bar_horizontal_06,5,77,53,FALSE,trial6.csv
pie_16,5,63,39,FALSE,trial6.csv
bar_vertical_19,3,88,62,FALSE,trial6.csv
pie_18,5,56,56,TRUE,trial6.csv
bar_vertical_20,4,96,43,FALSE,trial6.csv
bar_vertical_17,5,93,49.5,FALSE,trial6.csv
bar_horizontal_17,4,59,46,FALSE,trial6.csv
bar_vertical_07,5,86,68.5,FALSE,trial6.csv
bar_horizontal_18,4,89,70,FALSE,trial6.csv
bar_vertical_05,5,48,46,FALSE,trial6.csv
bar_vertical_04,5,79,45,FALSE,trial6.csv
pie_15,4,78,36.5,FALSE,trial6.csv
pie_12,4,59,35,FALSE,trial6.csv
bar_vertical_12,4,92,32,FALSE,trial6.csv
pie_04,4,41,29,FALSE,trial6.csv
pie_07,2,60,41,FALSE,trial6.csv
